"id_orcamento","data_ano","nome_unidade","nome_programa","nome_acao","dotacao_atual","empenhado","liquidado","pago"
"2","2000","Agência Espacial Brasileira","Assistência ao Trabalhador","Assistência Médica e Odontológica aos Servidores, Empregados e seus Dependentes","42750","39577","39577","39577"
"6","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Veículos Lançadores de Satélites","4406496","4492298","4492298","3816813"
"10","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Regulamentações, Licenças e Certificações Espaciais","58200","58200","58200","58200"
"1","2000","Agência Espacial Brasileira","Atenção À Criança","Assistência Pré-escolar aos Dependentes dos Servidores e Empregados","12000","8351","8351","8351"
"11","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Manutenção e Atualização da Infra-estrutura Espacial","1566550","1535732","1535732","936437"
"16","2000","Agência Espacial Brasileira","Apoio Administrativo","Remuneração de Pessoal Ativo da União e Encargos Sociais","2315000","2206396","2206396","2206396"
"4","2000","Agência Espacial Brasileira","Assistência ao Trabalhador","Auxílio Alimentação aos Servidores e Empregados","76755","68730","68730","68730"
"14","2000","Agência Espacial Brasileira","Apoio Administrativo","Manutenção e Conservação de Bens Imóveis","1003430","998640","998640","985635"
"12","2000","Agência Espacial Brasileira","Apoio Administrativo","Manutenção de Serviços Administrativos","957850","957850","957850","950957"
"8","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","580000","536997","536997","536997"
"3","2000","Agência Espacial Brasileira","Assistência ao Trabalhador","Auxílio Transporte aos Servidores e Empregados","26000","25461","25461","25461"
"7","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Foguetes de Sondagem","1648210","1676197","1676197","1161637"
"9","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Capacitação de Recursos Humanos para a Área Espacial","240202","163591","163591","163591"
"15","2000","Agência Espacial Brasileira","Apoio Administrativo","Ações de Informática","246318","239426","239426","238959"
"13","2000","Agência Espacial Brasileira","Apoio Administrativo","Manutenção de Serviços de Transportes","65000","28423","28423","517"
"5","2000","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites","5882850","5191526","5191526","3611488"
"17","2000","Agência Espacial Brasileira","Gestão da Política de Comunicação de Governo","Comunicação de Governo","50000","49079","49079","49079"
"26","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Foguetes de Sondagem","1668500","1462958","1462958","1040863"
"30","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Experimentos em Microgravidade","424740","376164","376164","376164"
"23","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Capacitação de Recursos Humanos para a Área Espacial","966000","804230","804230","669707"
"34","2001","Agência Espacial Brasileira","PROGRAMA DE APOIO ADMINISTRATIVO","Ações de Informática","117800","37800","37800","37800"
"28","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Manutenção da Infra-Estrutura de Apoio Às Atividades Espaciais","1376430","1207232","1207232","1028290"
"32","2001","Agência Espacial Brasileira","PROGRAMA DE APOIO ADMINISTRATIVO","Manutenção de Serviços de Transportes","50324","48762","48762","47327"
"36","2001","Agência Espacial Brasileira","Gestão da Política de Comunicação de Governo","Comunicação de Governo","48300","47925","47925","39031"
"19","2001","Agência Espacial Brasileira","Assistência ao Trabalhador","Assistência Médica e Odontológica aos Servidores, Empregados e seus Dependentes","45000","36938","36938","36938"
"25","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Veículos Lançadores de Satélites","11780864","11794077","11794077","5767048"
"20","2001","Agência Espacial Brasileira","Assistência ao Trabalhador","Assistência Pré-escolar aos Dependentes dos Servidores e Empregados","10000","7372","7372","7372"
"18","2001","Agência Espacial Brasileira","PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO","Pagamento de Pensões a Servidores Civis","22538","14938","14938","14938"
"35","2001","Agência Espacial Brasileira","PROGRAMA DE APOIO ADMINISTRATIVO","Remuneração de Pessoal Ativo da União e Encargos Sociais","2302102","2136751","2136751","2136751"
"22","2001","Agência Espacial Brasileira","Assistência ao Trabalhador","Auxílio Alimentação aos Servidores e Empregados","68950","68950","68950","68950"
"29","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","16716228","12785046","12785046","10480585"
"33","2001","Agência Espacial Brasileira","PROGRAMA DE APOIO ADMINISTRATIVO","Manutenção e Conservação de Bens Imóveis","575690","464290","464290","427981"
"24","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto","5583147","4759913","4759913","4739701"
"31","2001","Agência Espacial Brasileira","PROGRAMA DE APOIO ADMINISTRATIVO","Manutenção de Serviços Administrativos","1062987","892863","892863","822668"
"27","2001","Agência Espacial Brasileira","Nacional de Atividades Espaciais - Pnae","Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","454200","404173","404173","404173"
"21","2001","Agência Espacial Brasileira","Assistência ao Trabalhador","Auxílio Transporte aos Servidores e Empregados","30000","25207","25207","25207"
