"id_acao","nome_acao"
"1","Assistência Pré-escolar aos Dependentes dos Servidores e Empregados"
"2","Assistência Médica e Odontológica aos Servidores, Empregados e seus Dependentes"
"3","Auxílio Transporte aos Servidores e Empregados"
"4","Auxílio Alimentação aos Servidores e Empregados"
"5","Desenvolvimento de Satélites"
"6","Desenvolvimento de Veículos Lançadores de Satélites"
"7","Desenvolvimento de Foguetes de Sondagem"
"8","Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais"
"9","Capacitação de Recursos Humanos para a Área Espacial"
"10","Regulamentações, Licenças e Certificações Espaciais"
"11","Manutenção e Atualização da Infra-estrutura Espacial"
"12","Manutenção de Serviços Administrativos"
"13","Manutenção de Serviços de Transportes"
"14","Manutenção e Conservação de Bens Imóveis"
"15","Ações de Informática"
"16","Remuneração de Pessoal Ativo da União e Encargos Sociais"
"17","Comunicação de Governo"
"18","Pagamento de Pensões a Servidores Civis"
"19","Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto"
"20","Manutenção da Infra-Estrutura de Apoio Às Atividades Espaciais"
"21","Implantação de Infra-Estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento"
"22","Experimentos em Microgravidade"
"23","Pagamento de Aposentadorias e Pensões - Servidores Civis"
"24","Formação de Astronautas"
"25","Contribuição a International Astronautical Federation - IAF"
"26","Apoio à Comercialização de Bens e Serviços no Setor Espacial"
"27","Administração da Unidade"
"28","Certificação de Sistemas e Produtos Espaciais"
"29","Apoio a Projetos de Pesquisa e Desenvolvimento no Setor Espacial"
"30","Reconstrução da Torre Móvel de Integração do Sítio do Veículo Lançador de Satélite"
"31","Auxílio-Transporte aos Servidores e Empregados"
"32","Auxílio-Alimentação aos Servidores e Empregados"
"33","Gestão e Administração do Programa"
"34","Funcionamento da Infra-Estrutura de Apoio às Atividades Espaciais"
"35","Complementação da Infra-Estrutura Geral do Centro de Lançamento de Alcântara"
"36","Desenvolvimento e Lançamento de Satélites Tecnológicos de Pequeno Porte"
"37","Operação das Plataformas de Coleta de Dados"
"38","Desenvolvimento e Lançamento de Satélites de Aplicação"
"39","Desenvolvimento e Lançamento de Foguetes de Sondagem"
"40","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência  dos Servidores Públicos Federais"
"41","Funcionamento do Centro Regional de Educação em Ciência e Tecnologia Espaciais para a América Latina e Caribe"
"42","Manutenção da Infra-estrutura de Apoio a Satélites"
"43","Desenvolvimento de Experimentos e Equipamentos Embarcados"
"44","Capacitação de Especialistas do Setor Espacial"
"45","Participação Brasileira no Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS"
"46","Participação Brasileira na Estação Espacial Internacional - ISS"
"47","Pesquisa e Desenvolvimento em Tecnologias, Ciências e Aplicações Espaciais no Instituto Nacional de Pesquisas Espaciais"
"48","Recepção de Imagens e Geração de Produtos de Satélites"
"49","Desenvolvimento do Segmento de Aplicações do Satélite Sino-Brasileiro (CBERS)"
"50","Desenvolvimento de Produtos e Processos Inovadores para o Setor Espacial"
"51","Funcionamento do Centro Regional Sul de Pesquisas Espaciais"
"52","Desenvolvimento e Lançamento de Satélites de Sensoriamento Remoto com Imageador Radar"
"53","Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Lançadores"
"54","Implantação do Sistema de Metrologia, Normalização e Certificação para a Área Espacial"
"55","Desenvolvimento de Satélites de Comunicação e Meteorologia"
"56","Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais"
"57","Funcionamento da Infra-Estrutura de Apoio a Satélites"
"58","Desenvolvimento de Satélites Científicos"
"59","Operação do Sistema de Coleta de Dados"
"60","Desenvolvimento de Satélites de Sensoriamento Remoto com Imageador Óptico"
"61","Desenvolvimento de Satélites de Sensoriamento Remoto com Imageador Radar"
"62","Desenvolvimento de Satélites de Sensoriamento Remoto"
"63","Implantação do Centro Espacial de Alcântara - CEA"
"64","Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Espaciais"
"65","Desenvolvimento do Satélite Lattes"
"66","Desenvolvimento do Satélite do Programa Internacional de Medidas de Precipitação - GPM-Br"
"67","Desenvolvimento do Satélite de Sensoriamento Remoto com Imageador Radar - MAPSAR"
"68","Desenvolvimento do Satélite Amazônia-1"
"69","Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS-3"
"70","Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS-4"
"71","Capacitação de Especialistas do Sistema Nacional de Desenvolvimento das Atividades Espaciais"
"72","Estudos para a implantação do Centro Espacial de Alcântara - CEA"
"73","Funcionamento e Atualização do Laboratório de Integração e Testes"
"74","Pesquisa em Ciência Espacial"
"75","Controle de Satélites, Recepção, Geração, Armazenamento e Distribuição de Dados"
"76","Pesquisa e Aplicações de Dados de Satélites de Observação da Terra"
"77","Assistência Médica aos Servidores e Empregados - Exames Periódicos"
"78","Implantação do Complexo Espacial de Alcântara - CEA"
"79","Implantação de Planetários e Laboratórios para Difusão da Cultura Espacial"
"80","Funcionamento da Infraestrutura de Apoio às Atividades Espaciais"
"81","Desenvolvimento do Satélite de Medida de Precipitação"
"82","Desenvolvimento de Satélite Radar"
"83","Desenvolvimento do Satélite Sabia-Mar"
"84","Desenvolvimento de Competências e Capital Humano para o Setor Espacial"
"85","Concepção e Análise de Viabilidade de Novas Missões Espaciais"
"86","Pesquisa e Desenvolvimento no Sistema Científico Brasileiro de Previsão do Clima Espacial"
"87","Desenvolvimento, Manutenção e Atualização da Infraestrutura Espacial"
"88","Desenvolvimento e Lançamento de Foguetes Suborbitais e de Veículos Lançadores de Satélites"
"89","Pesquisa e Desenvolvimento de Tecnologias para o Setor Espacial"
"90","Desenvolvimento e Lançamento de Satélites"
"91","Funcionamento e Atualização da Infraestrutura de Apoio a Veículos Espaciais"
"92","Pesquisa e Desenvolvimento em Aeronomia, Astrofísica Instrumental e Geofísica Espacial"
"93","Apoio a Projetos de Pesquisa e Desenvolvimento de Tecnologias Críticas para o Setor Espacial"
"94","Pesquisa, Aplicações e Desenvolvimento Tecnológico com Dados de Satélites de Observação da Terra"
"95","Desenvolvimento de Produtos e Processos para Componentes e Subsistemas de Satélites"
"96","Desenvolvimento e Lançamento de Foguetes Suborbitais"
"97","Contribuição da União para o Custeio do Regime de Previdência dos Servidores Públicos Federais"
"98","Pagamento de Pessoal Ativo da União"
"99","Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes"
"100","Assistência Pré-Escolar aos Dependentes dos Servidores Civis, Empregados e Militares"
"101","Auxílio-Transporte aos Servidores Civis, Empregados e Militares"
"102","Auxílio-Alimentação aos Servidores Civis, Empregados e Militares"
"103","Benefícios Assistenciais decorrentes do Auxílio-Funeral e Natalidade"
"104","Contribuição à Federação Internacional de Astronáutica - FIA (MCTI)"
"105","Implementação do Plano de Absorção e Transferência de Tecnologia no Âmbito do Satélite Geoestacionário de Defesa e Comunicações Estratégicas (SGDC)"
"106","Aposentadorias e Pensões - Servidores Civis"
"107","Desenvolvimento e Lançamento de Foguetes Suborbitais e de Veículos Lançadores de Satélites, com a Infraestrutura Associada"
