"id_orcamento","dotacao_atual","empenhado","liquidado","pago","fk_acao","fk_programa","fk_unidade","fk_ano"
"1","12000","8351","8351","8351","1","1","1","1"
"2","42750","39577","39577","39577","2","2","1","1"
"3","26000","25461","25461","25461","3","2","1","1"
"4","76755","68730","68730","68730","4","2","1","1"
"5","5882850","5191526","5191526","3611488","5","3","1","1"
"6","4406496","4492298","4492298","3816813","6","3","1","1"
"7","1648210","1676197","1676197","1161637","7","3","1","1"
"8","580000","536997","536997","536997","8","3","1","1"
"9","240202","163591","163591","163591","9","3","1","1"
"10","58200","58200","58200","58200","10","3","1","1"
"11","1566550","1535732","1535732","936437","11","3","1","1"
"12","957850","957850","957850","950957","12","4","1","1"
"13","65000","28423","28423","517","13","4","1","1"
"14","1003430","998640","998640","985635","14","4","1","1"
"15","246318","239426","239426","238959","15","4","1","1"
"16","2315000","2206396","2206396","2206396","16","4","1","1"
"17","50000","49079","49079","49079","17","5","1","1"
"18","22538","14938","14938","14938","18","6","1","2"
"19","45000","36938","36938","36938","2","2","1","2"
"20","10000","7372","7372","7372","1","2","1","2"
"21","30000","25207","25207","25207","3","2","1","2"
"22","68950","68950","68950","68950","4","2","1","2"
"23","966000","804230","804230","669707","9","3","1","2"
"24","5583147","4759913","4759913","4739701","19","3","1","2"
"25","11780864","11794077","11794077","5767048","6","3","1","2"
"26","1668500","1462958","1462958","1040863","7","3","1","2"
"27","454200","404173","404173","404173","8","3","1","2"
"28","1376430","1207232","1207232","1028290","20","3","1","2"
"29","16716228","12785046","12785046","10480585","21","3","1","2"
"30","424740","376164","376164","376164","22","3","1","2"
"31","1062987","892863","892863","822668","12","7","1","2"
"32","50324","48762","48762","47327","13","7","1","2"
"33","575690","464290","464290","427981","14","7","1","2"
"34","117800","37800","37800","37800","15","7","1","2"
"35","2302102","2136751","2136751","2136751","16","7","1","2"
"36","48300","47925","47925","39031","17","5","1","2"
"37","26580","15014","15014","15014","23","6","1","3"
"38","4795795","4722342","4722342","4722342","19","3","1","3"
"39","7333835","7318174","7318174","4622937","6","3","1","3"
"40","307960","295606","295606","295606","7","3","1","3"
"41","1269000","1085717","1085717","686502","20","3","1","3"
