"id_programa","nome_programa"
"1","Atenção À Criança"
"2","Assistência ao Trabalhador"
"3","Nacional de Atividades Espaciais - Pnae"
"4","Apoio Administrativo"
"5","Gestão da Política de Comunicação de Governo"
"6","PREVIDÊNCIA DE INATIVOS E PENSIONISTAS DA UNIÃO"
"7","PROGRAMA DE APOIO ADMINISTRATIVO"
"8","Gestão da Participação em Organismos Internacionais"
"9","Valorização do Servidor Público"
"10","Política Espacial"
"11","Programa de Gestão e Manutenção do Ministério da Ciência, Tecnologia e Inovação"
"12","Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais"
"13","Programa de Gestão e Manutenção do Ministério da Ciência, Tecnologia, Inovações e Comunicações"
